"part","uk_qty","de_qty"
"11-161409","0","0"
"11-161410","0","0"
"11-161411","0","0"
"11-161412","0","0"
"11-161417","0","0"
"11-161427","0","0"
"11-161431","0","0"
"11-161432","0","0"
"11-161455","0","0"
"11-161456","0","0"
"11-161457","0","0"
"11-161458","0","0"
"11-161459","0","0"
"11-161470","0","0"
"11-161471","0","0"
"11-161477","0","0"
"11-161492","0","0"
"11-161493","0","0"
"11-161755","0","0"
"11-161756","0","0"
"11-161757","0","0"
"11-161758","0","0"
"11-161759","0","0"
"11-161760","0","0"
"11-161761","0","0"
"11-161762","0","0"
"11-161763","0","0"
"11-161764","0","0"
"11-161772","0","0"
"11-161773","0","0"
"11-161774","0","0"
"11-161775","0","0"
"11-161780","0","0"
"11-161916","0","0"
"11-161917","0","0"
"11-161918","0","0"
"11-161954","0","0"
"11-161956","0","0"
"11-181341","0","0"
"11-211310","0","0"
"11-211312","0","0"
"11-211313","0","0"
"11-211322","0","0"
"11-211324","0","0"
"11-211328","0","0"
"11-211329","0","0"
"11-211330","0","0"
"11-211438","0","0"
"11-211441","0","0"
"11-211444","0","0"
"11-211449","0","0"
"11-211450","0","0"
"11-211451","0","0"
"11-211452","0","0"
"11-211472","0","0"
"11-211480","0","0"
"11-211486","0","0"
"11-211487","0","0"
"11-211488","0","0"
"11-211489","0","0"
"11-211497","0","0"
"11-211602","0","0"
"11-211603","0","0"
"11-211604","0","0"
"11-211606","0","0"
"11-211625","0","0"
"11-211638","0","0"
"11-211658","0","0"
"11-211659","0","0"
"11-211660","0","0"
"11-211666","0","0"
"11-211681","0","0"
"11-211683","0","0"
"11-211684","0","0"
"11-211689","0","0"
"11-211690","0","0"
"11-211691","0","0"
"11-211694","0","0"
"11-211718","0","0"
"11-211719","0","0"
"11-211720","0","0"
"11-211721","0","0"
"11-211722","0","0"
"11-211723","0","0"
"11-211724","0","0"
"11-211725","0","0"
"11-211726","0","0"
"11-211727","0","0"
"11-211728","0","0"
"11-211730","0","0"
"11-211739","0","0"
"11-211740","0","0"
"11-211741","0","0"
"11-211742","0","0"
"11-211743","0","0"
"11-211744","0","0"
"11-211745","0","0"
"11-211746","0","0"
"11-211747","0","0"
"11-211748","0","0"
"11-211749","0","0"
"11-211792","0","0"
"11-211796","0","0"
"11-211906","0","0"
"11-211909","0","0"
"11-211920","0","0"
"11-211921","0","0"
"11-211947","0","0"
"11-211991","0","0"
"11-221348","0","0"
"11-221352","0","0"
"11-221353","0","0"
"11-221356","0","0"
"11-221357","0","0"
